N = 161, K = 66 => complexity = 209.466
N = 161, K = 71 => complexity = 209.466
N = 161, K = 76 => complexity = 209.466
N = 161, K = 81 => complexity = 161
N = 161, K = 86 => complexity = 161
N = 161, K = 91 => complexity = 161
N = 161, K = 96 => complexity = 161
N = 161, K = 101 => complexity = 161
N = 161, K = 106 => complexity = 161
N = 161, K = 111 => complexity = 161
N = 161, K = 116 => complexity = 161
N = 161, K = 121 => complexity = 161
N = 161, K = 126 => complexity = 161
N = 161, K = 131 => complexity = 161
N = 161, K = 136 => complexity = 161
N = 161, K = 141 => complexity = 161
N = 161, K = 146 => complexity = 161
N = 161, K = 151 => complexity = 161
N = 161, K = 156 => complexity = 161
N = 161, K = 161 => complexity = 161
N = 166, K = 1 => complexity = 534.538
N = 166, K = 6 => complexity = 403.606
N = 166, K = 11 => complexity = 361.231
N = 166, K = 16 => complexity = 332
N = 166, K = 21 => complexity = 306.286
N = 166, K = 26 => complexity = 295.173
N = 166, K = 31 => complexity = 282.029
N = 166, K = 36 => complexity = 265.942
N = 166, K = 41 => complexity = 265.942
N = 166, K = 46 => complexity = 245.202
N = 166, K = 51 => complexity = 245.202
N = 166, K = 56 => complexity = 215.971
N = 166, K = 61 => complexity = 215.971
N = 166, K = 66 => complexity = 215.971
N = 166, K = 71 => complexity = 215.971
N = 166, K = 76 => complexity = 215.971
N = 166, K = 81 => complexity = 215.971
N = 166, K = 86 => complexity = 166
N = 166, K = 91 => complexity = 166
N = 166, K = 96 => complexity = 166
N = 166, K = 101 => complexity = 166
N = 166, K = 106 => complexity = 166
N = 166, K = 111 => complexity = 166
N = 166, K = 116 => complexity = 166
N = 166, K = 121 => complexity = 166
N = 166, K = 126 => complexity = 166
N = 166, K = 131 => complexity = 166
N = 166, K = 136 => complexity = 166
N = 166, K = 141 => complexity = 166
N = 166, K = 146 => complexity = 166
N = 166, K = 151 => complexity = 166
N = 166, K = 156 => complexity = 166
N = 166, K = 161 => complexity = 166
N = 166, K = 166 => complexity = 166
N = 171, K = 1 => complexity = 552.842
N = 171, K = 6 => complexity = 418.464
N = 171, K = 11 => complexity = 372.112
N = 171, K = 16 => complexity = 342
N = 171, K = 21 => complexity = 325.428
N = 171, K = 26 => complexity = 304.064
N = 171, K = 31 => complexity = 290.524
N = 171, K = 36 => complexity = 273.952
N = 171, K = 41 => complexity = 273.952
N = 171, K = 46 => complexity = 252.588
N = 171, K = 51 => complexity = 252.588
N = 171, K = 56 => complexity = 252.588
N = 171, K = 61 => complexity = 222.476
N = 171, K = 66 => complexity = 222.476
N = 171, K = 71 => complexity = 222.476
N = 171, K = 76 => complexity = 222.476
N = 171, K = 81 => complexity = 222.476
N = 171, K = 86 => complexity = 171
N = 171, K = 91 => complexity = 171
N = 171, K = 96 => complexity = 171
N = 171, K = 101 => complexity = 171
N = 171, K = 106 => complexity = 171
N = 171, K = 111 => complexity = 171
N = 171, K = 116 => complexity = 171
N = 171, K = 121 => complexity = 171
N = 171, K = 126 => complexity = 171
N = 171, K = 131 => complexity = 171
N = 171, K = 136 => complexity = 171
N = 171, K = 141 => complexity = 171
N = 171, K = 146 => complexity = 171
N = 171, K = 151 => complexity = 171
N = 171, K = 156 => complexity = 171
N = 171, K = 161 => complexity = 171
N = 171, K = 166 => complexity = 171
N = 171, K = 171 => complexity = 171
N = 176, K = 1 => complexity = 571.21
N = 176, K = 6 => complexity = 433.382
N = 176, K = 11 => complexity = 387.925
N = 176, K = 16 => complexity = 359.285
N = 176, K = 21 => complexity = 334.944
N = 176, K = 26 => complexity = 312.955
N = 176, K = 31 => complexity = 299.019
N = 176, K = 36 => complexity = 281.963
N = 176, K = 41 => complexity = 281.963
N = 176, K = 46 => complexity = 259.973
N = 176, K = 51 => complexity = 259.973
N = 176, K = 56 => complexity = 259.973
N = 176, K = 61 => complexity = 228.981
N = 176, K = 66 => complexity = 228.981
N = 176, K = 71 => complexity = 228.981
N = 176, K = 76 => complexity = 228.981
N = 176, K = 81 => complexity = 228.981
N = 176, K = 86 => complexity = 228.981
N = 176, K = 91 => complexity = 176
N = 176, K = 96 => complexity = 176
N = 176, K = 101 => complexity = 176
N = 176, K = 106 => complexity = 176
N = 176, K = 111 => complexity = 176
N = 176, K = 116 => complexity = 176
N = 176, K = 121 => complexity = 176
N = 176, K = 126 => complexity = 176
N = 176, K = 131 => complexity = 176
N = 176, K = 136 => complexity = 176
N = 176, K = 141 => complexity = 176
N = 176, K = 146 => complexity = 176
N = 176, K = 151 => complexity = 176
N = 176, K = 156 => complexity = 176
N = 176, K = 161 => complexity = 176
N = 176, K = 166 => complexity = 176
N = 176, K = 171 => complexity = 176
N = 176, K = 176 => complexity = 176
N = 181, K = 1 => complexity = 589.64
N = 181, K = 6 => complexity = 448.359
N = 181, K = 11 => complexity = 398.946
N = 181, K = 16 => complexity = 369.492
N = 181, K = 21 => complexity = 344.459
N = 181, K = 26 => complexity = 321.845
N = 181, K = 31 => complexity = 307.514
N = 181, K = 36 => complexity = 307.514
N = 181, K = 41 => complexity = 289.973
N = 181, K = 46 => complexity = 267.359
N = 181, K = 51 => complexity = 267.359
N = 181, K = 56 => complexity = 267.359
N = 181, K = 61 => complexity = 235.486
N = 181, K = 66 => complexity = 235.486
N = 181, K = 71 => complexity = 235.486
N = 181, K = 76 => complexity = 235.486
N = 181, K = 81 => complexity = 235.486
N = 181, K = 86 => complexity = 235.486
N = 181, K = 91 => complexity = 181
N = 181, K = 96 => complexity = 181
N = 181, K = 101 => complexity = 181
N = 181, K = 106 => complexity = 181
N = 181, K = 111 => complexity = 181
N = 181, K = 116 => complexity = 181
N = 181, K = 121 => complexity = 181
N = 181, K = 126 => complexity = 181
N = 181, K = 131 => complexity = 181
N = 181, K = 136 => complexity = 181
N = 181, K = 141 => complexity = 181
N = 181, K = 146 => complexity = 181
N = 181, K = 151 => complexity = 181
N = 181, K = 156 => complexity = 181
N = 181, K = 161 => complexity = 181
N = 181, K = 166 => complexity = 181
N = 181, K = 171 => complexity = 181
N = 181, K = 176 => complexity = 181
N = 181, K = 181 => complexity = 181
N = 186, K = 1 => complexity = 608.129
N = 186, K = 6 => complexity = 463.393
N = 186, K = 11 => complexity = 409.966
N = 186, K = 16 => complexity = 379.699
N = 186, K = 21 => complexity = 353.975
N = 186, K = 26 => complexity = 343.188
N = 186, K = 31 => complexity = 330.736
N = 186, K = 36 => complexity = 316.008
N = 186, K = 41 => complexity = 297.983
N = 186, K = 46 => complexity = 297.983
N = 186, K = 51 => complexity = 274.745
N = 186, K = 56 => complexity = 274.745
N = 186, K = 61 => complexity = 274.745
N = 186, K = 66 => complexity = 241.992
N = 186, K = 71 => complexity = 241.992
N = 186, K = 76 => complexity = 241.992
N = 186, K = 81 => complexity = 241.992
N = 186, K = 86 => complexity = 241.992
N = 186, K = 91 => complexity = 241.992
N = 186, K = 96 => complexity = 186
N = 186, K = 101 => complexity = 186
N = 186, K = 106 => complexity = 186
N = 186, K = 111 => complexity = 186
N = 186, K = 116 => complexity = 186
N = 186, K = 121 => complexity = 186
N = 186, K = 126 => complexity = 186
N = 186, K = 131 => complexity = 186
N = 186, K = 136 => complexity = 186
N = 186, K = 141 => complexity = 186
N = 186, K = 146 => complexity = 186
N = 186, K = 151 => complexity = 186
N = 186, K = 156 => complexity = 186
N = 186, K = 161 => complexity = 186
